Model_Parameters,GPU_Type,Training_Hours,Dataset_Size_MB,Energy_kWh,CO2_kg
18229180,A100,14.78,9575.06,8.669,4.603
22711577,A100,12.66,546.05,5.496,3.656
32636210,A100,17.1,7908.82,9.601,6.291
33178687,A100,19.91,1756.87,9.091,5.255
65883588,A100,12.55,2943.56,6.062,3.219
77862586,A100,8.78,7891.36,5.015,3.034
78732641,A100,1.25,1438.87,0.574,0.449
82076483,A100,23.87,9868.95,14.478,8.079
82286595,A100,16.69,2405.4,7.957,4.942
83874303,A100,22.2,8143.34,12.808,7.813
88530286,A100,22.43,3475.42,11.138,7.618
100145209,A100,4.64,8289.41,2.706,1.871
103513136,A100,20.82,2587.74,10.074,6.747
109869456,A100,20.44,2400.53,9.847,5.796
113146801,A100,13.44,4132.53,6.893,3.828
115449942,A100,2.56,9766.6,1.568,1.071
121689049,A100,14.81,9379.41,8.993,6.164
146932029,A100,6.1,7451.82,3.53,1.88
148393775,A100,7.79,1254.27,3.649,2.563
168380734,A100,18.5,1944.64,8.961,6.152
177406267,A100,19.07,3047.77,9.648,5.616
191056759,A100,18.96,9598.76,11.893,6.054
192885283,A100,1.21,3798.81,0.632,0.499
194474494,A100,9.81,4729.38,5.294,2.904
199111654,A100,2.77,983.34,1.309,0.853
200311135,A100,21.78,2768.47,11.002,6.594
212726986,A100,13.18,7539.66,7.838,5.329
214898828,A100,5.06,6155.56,2.883,2.132
215344637,A100,11.44,7648.69,6.832,4.235
215406238,A100,0.74,1842.14,0.363,0.462
215929653,A100,1.91,5463.31,1.065,0.744
216213399,A100,8.38,5622.04,4.696,3.219
226702971,A100,16.63,6725.03,9.691,6.38
245584943,A100,22.34,9891.16,14.417,9.322
260450530,A100,4.95,5586.82,2.816,1.825
261843723,A100,11.3,5832.39,6.482,3.667
261853141,A100,13.94,3274.95,7.334,4.637
263014252,A100,1.09,5117.31,0.611,0.619
263842637,A100,2.05,7490.27,1.24,0.989
266505543,A100,15.94,7247.74,9.58,6.397
277279110,A100,9.71,314.22,4.599,2.573
281279398,A100,17.12,6345.15,10.055,6.811
298042737,A100,0.89,855.84,0.434,0.581
305222179,A100,21.62,374.09,10.367,6.11
311580424,A100,0.94,1791.13,0.477,0.563
338973692,A100,4.12,3925.18,2.279,1.757
353146270,A100,4.9,8595.65,3.164,2.484
355687891,A100,11.5,2242.61,6.027,4.286
360971509,A100,2.23,415.69,1.092,0.947
361137986,A100,8.14,9718.58,5.447,3.9
365331535,A100,11.98,2589.74,6.38,4.596
365386049,A100,8.03,2218.64,4.219,3.005
374189041,A100,4.75,637.52,2.358,1.725
375243926,A100,1.81,9344.15,1.204,1.18
387988207,A100,21.52,9290.78,14.357,9.733
394701759,A100,12.29,3924.66,6.932,4.269
400093644,A100,22.19,4534.73,12.804,7.105
406806297,A100,11.92,754.84,6.012,3.941
407625640,A100,16.22,3763.05,9.139,5.689
410077962,A100,8.48,9869.48,5.797,3.418
413702325,A100,22.61,7548.09,14.445,8.126
420225740,A100,14.07,9377.54,9.516,5.088
422995221,A100,9.04,8850.81,6.026,3.989
424062207,A100,15.27,6200.46,9.385,6.138
433089515,A100,8.14,4613.94,4.763,3.019
435329621,A100,22.71,2783.62,12.477,8.417
437713478,A100,5.88,616.48,2.981,2.089
445506162,A100,18.43,9153.67,12.49,8.035
451128688,A100,5.01,8340.95,3.321,2.206
456633471,A100,16.58,5831.26,10.182,6.655
458827829,A100,23.42,5981.64,14.463,8.936
464114295,A100,21.91,2313.65,11.95,8.555
468366091,A100,13.57,7155.47,8.726,5.163
468994991,A100,12.29,7163.34,7.906,4.738
471945305,A100,10.1,3972.31,5.859,3.36
472841156,A100,9.61,903.76,4.986,3.236
474474801,A100,9.74,2563.86,5.38,4.129
486292071,A100,0.58,4444.76,0.344,0.732
498897992,A100,18.28,5758.37,11.359,6.268
15447984,CPU,2.05,2849.42,0.498,0.149
16704913,CPU,21.07,4644.96,5.45,2.022
17181203,CPU,18.94,4953.62,4.951,1.817
31273034,CPU,6.04,9534.31,1.83,0.606
35582297,CPU,11.07,5615.6,2.979,1.116
44991964,CPU,5.95,4658.61,1.557,0.524
55423557,CPU,11.21,521.19,2.534,0.879
58862815,CPU,2.52,2438.88,0.613,0.195
67270074,CPU,13.72,4245.5,3.571,1.286
72137133,CPU,16.73,4495.35,4.4,1.332
75825032,CPU,23.21,7456.53,6.727,2.048
80344098,CPU,2.64,5622.0,0.723,0.255
88884695,CPU,15.26,498.9,3.492,1.327
90281920,CPU,14.12,6763.56,4.027,1.262
95946264,CPU,19.97,447.18,4.573,1.349
102117575,CPU,7.77,6770.94,2.227,0.755
106706849,CPU,21.6,7761.99,6.395,2.241
120727425,CPU,21.6,7099.32,6.299,2.021
121708673,CPU,8.27,1634.69,2.002,0.738
122542540,CPU,20.47,5243.12,5.628,2.157
127389321,CPU,20.04,3269.07,5.16,1.79
134280863,CPU,9.03,1247.69,2.164,0.826
134329129,CPU,13.03,414.01,3.024,1.185
149226977,CPU,1.11,6883.93,0.325,0.173
151643266,CPU,7.4,4023.71,1.974,0.605
153991758,CPU,9.31,7046.89,2.745,0.849
158959253,CPU,15.18,9537.68,4.833,1.525
159382894,CPU,5.56,7085.34,1.645,0.62
